~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 6"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 8"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 10"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 12"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Run of Nipples",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,PT PLUG,"1/2"" Brass PT Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,PT PLUG,"1/4"" Brass PT Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"3/4"" BRASS","3/4"" Brass Threaded Ball Valve",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"3/4"" BRASS","3/4"" Brass Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"3/4"" BRASS","3/4"" Brass 90",,FALSE,~
