Item Name,Estimated Price,Result Type
"5"" 12x4 Oval Stack Head",$12.40,Pricing Guts!A422
"5"" 12x6 Oval Stack Head",$46.85,Pricing Guts!A600
"5"" 14x4 Oval Stack Head",$54.49,Pricing Guts!A602
"5"" 14x6 Oval Stack Head",$45.75,Estimated
"6"" Pipe (Linear Feet)",$45.75,Estimated
"6"" Elbows",$28.75,Estimated
"6"" Sticky Collar (ATD)",$12.45,Estimated
"6"" Clinch Collar",$7.86,Pricing Guts!A432
"6"" Top Take Off",$12.40,Pricing Guts!A422
"6"" Saddle Collar",$46.85,Pricing Guts!A600
"6"" R-4 Flex",$54.49,Pricing Guts!A602
"6"" R-8 Flex",$7.86,Pricing Guts!A433
"6"" Oval Pipe (Linear Feet)",$7.86,Pricing Guts!A432
"6"" Oval to Round Straight",$7.86,Pricing Guts!A433
"6"" Oval to Round Vertical",$45.80,Estimated
"6"" Oval to Round Horizontal",$42.75,Estimated
"6"" Oval Vertical 90",$42.75,Estimated
"6"" Oval Horizontal 90",$7.86,Pricing Guts!A432
12x4x6 Straight Boot,$7.86,Pricing Guts!A433
12x4x6 90 Boot,$28.75,Estimated
12x4x6 Pencil Boot,$7.86,Pricing Guts!A432
12x6x6 Straight Boot,$7.86,Pricing Guts!A433
12x6x6 90 Boot,$8.75,Estimated
12x6x6 Pencil Boot,$3.75,Estimated
6x6x6 Top Tap,$3.75,Estimated
6x6x6 Side Tap,$18.75,Estimated
8x8x6 Top Tap,$14.05,Pricing Guts!A426
8x8x6 Side Tap,$51.26,Pricing Guts!A604
"6"" 12x4 Oval Stack Head",$14.05,Pricing Guts!A426
"6"" 12x6 Oval Stack Head",$51.26,Pricing Guts!A604
"6"" 14x4 Oval Stack Head",$58.78,Pricing Guts!A606
"6"" 14x6 Oval Stack Head",$45.75,Estimated
"7"" Pipe (Linear Feet)",$45.75,Estimated
"7"" Elbows",$42.75,Estimated
"7"" Sticky Collar (ATD)",$12.45,Estimated
"7"" Clinch Collar",$7.86,Pricing Guts!A434
"7"" Top Take Off",$14.05,Pricing Guts!A426
"7"" Saddle Collar",$51.26,Pricing Guts!A604
"7"" R-4 Flex",$58.78,Pricing Guts!A606
"7"" R-8 Flex",$8.82,Pricing Guts!A435
"7"" Oval Pipe (Linear Feet)",$7.86,Pricing Guts!A434
"7"" Oval to Round Straight",$8.82,Pricing Guts!A435
"7"" Oval to Round Vertical",$8.82,Pricing Guts!A435
"7"" Oval to Round Horizontal",$7.86,Pricing Guts!A434
"7"" Oval Vertical 90",$8.82,Pricing Guts!A435
"7"" Oval Horizontal 90",$7.86,Pricing Guts!A434
12x4x7 Straight Boot,$8.82,Pricing Guts!A435
12x4x7 90 Boot,$8.82,Pricing Guts!A435
12x4x7 Pencil Boot,$7.86,Pricing Guts!A434
12x6x7 Straight Boot,$8.82,Pricing Guts!A435
12x6x7 90 Boot,$45.80,Estimated
12x6x7 Pencil Boot,$7.86,Pricing Guts!A434
14x4x7 Straight Boot,$8.82,Pricing Guts!A435
14x4x7 90 Boot,$42.75,Estimated
14x4x7 Pencil Boot,$7.86,Pricing Guts!A434
14x6x7 Straight Boot,$8.82,Pricing Guts!A435
14x6x7 90 Boot,$32.50,Estimated
14x6x7 Pencil Boot,$12.50,Estimated
8x8x7 Top Tap,$12.45,Estimated
8x8x7 Side Tap,$6.75,Estimated
10x10x7 Top Tap,$4.75,Estimated
10x10x7 Side Tap,$18.75,Estimated
"7"" 12x4 Oval Stack Head",$12.53,Pricing Guts!A430
"7"" 12x6 Oval Stack Head",$52.37,Pricing Guts!A608
"7"" 12x8 Oval Stack Head",$12.53,Pricing Guts!A430
"7"" 14x4 Oval Stack Head",$52.37,Pricing Guts!A608
"7"" 14x6 Oval Stack Head",$66.74,Pricing Guts!A610
"7"" 14x8 Oval Stack Head",$45.75,Estimated
"8"" Pipe (Linear Feet)",$45.75,Estimated
"8"" Elbows",$32.75,Estimated
"8"" Sticky Collar (ATD)",$32.75,Estimated
"8"" Clinch Collar",$7.86,Pricing Guts!A432
"8"" Top Take Off",$12.53,Pricing Guts!A430
"8"" Saddle Collar",$52.37,Pricing Guts!A608
"8"" R-4 Flex",$66.74,Pricing Guts!A610
"8"" R-8 Flex",$7.86,Pricing Guts!A433
"8"" Oval Pipe (Linear Feet)",$7.86,Pricing Guts!A432
"8"" Oval to Round Straight",$7.86,Pricing Guts!A433
"8"" Oval to Round Vertical",$12.75,Estimated
"8"" Oval to Round Horizontal",$12.75,Estimated
"8"" Oval Vertical 90",$7.86,Pricing Guts!A432
"8"" Oval Horizontal 90",$7.86,Pricing Guts!A432
12x4x8 Straight Boot,$7.86,Pricing Guts!A433
12x4x8 90 Boot,$7.86,Pricing Guts!A433
12x4x8 Pencil Boot,$7.86,Pricing Guts!A432
12x6x8 Straight Boot,$7.86,Pricing Guts!A433
12x6x8 90 Boot,$45.75,Estimated
12x6x8 Pencil Boot,$42.75,Estimated
14x4x8 Straight Boot,$32.75,Estimated
14x4x8 90 Boot,$42.75,Estimated
14x4x8 Pencil Boot,$7.86,Pricing Guts!A432
14x6x8 Straight Boot,$7.86,Pricing Guts!A433
14x6x8 90 Boot,$32.75,Estimated
14x6x8 Pencil Boot,$8.75,Estimated
8x8x8 Top Tap,$8.75,Estimated
8x8x8 Side Tap,$7.50,Estimated
10x10x8 Top Tap,$3.75,Estimated
10x10x8 Side Tap,$12.75,Estimated
"8"" 12x4 Oval Stack Head",$13.20,Pricing Guts!A419
"8"" 12x6 Oval Stack Head",$69.66,Pricing Guts!A582
"8"" 12x8 Oval Stack Head",$13.20,Pricing Guts!A419
"8"" 14x4 Oval Stack Head",$69.66,Pricing Guts!A582
"8"" 14x6 Oval Stack Head",$114.00,Pricing Guts!A584
"8"" 14x8 Oval Stack Head",$42.75,Estimated
"10"" Pipe (Linear Feet)",$42.75,Estimated
"10"" Elbows",$42.75,Estimated
"10"" Sticky Collar (ATD)",$42.75,Estimated
"10"" Clinch Collar",$8.75,Estimated
"10"" Top Take Off",$13.20,Pricing Guts!A419
"10"" Saddle Collar",$69.66,Pricing Guts!A582
"10"" R-4 Flex",$114.00,Pricing Guts!A584
"10"" R-8 Flex",$18.75,Estimated
10x10x10 Top Tap,$13.20,Pricing Guts!A419
10x10x10 Side Tap,$84.38,Pricing Guts!A586
12x12x10 Top Tap,$13.20,Pricing Guts!A419
12x12x10 Side Tap,$84.38,Pricing Guts!A586
14x14x10 Top Tap,$114.00,Pricing Guts!A584
14x14x10 Side Tap,$78.50,Estimated
"12"" Pipe (Linear Feet)",$78.50,Estimated
"12"" Elbows",$8.75,Estimated
"12"" Sticky Collar (ATD)",$8.75,Estimated
"12"" Clinch Collar",$6.75,Estimated
"12"" Top Take Off",$13.20,Pricing Guts!A419
"12"" Saddle Collar",$84.38,Pricing Guts!A586
"12"" R-4 Flex",$114.00,Pricing Guts!A584
"12"" R-8 Flex",$114.00,Pricing Guts!A584
12x12x12 Top Tap,$102.31,Pricing Guts!A588
12x12x12 Side Tap,$114.00,Pricing Guts!A584
14x14x12 Top Tap,$7.50,Estimated
14x14x12 Side Tap,$3.75,Estimated
"14"" Pipe (Linear Feet)",$28.75,Estimated
